Serial_Number,Part_Number,Start_Date_Time,Operation,TestStation,Site,LotNumber_9,Mapper_Average_Mapper_PL_Lambda2,operator,part_number,serial_number,start_date_time
,,2019-06-18T01:41:44,LD-EML_F2_Format2,LD-EML,350,,5000.0,工程,,エピNo.,2019-06-18T01:41:44
,,2019-06-18T06:09:47,LD-EML_F2_Format2,LD-EML,350,,5000.0,工程,,エピNo.,2019-06-18T06:09:47
,,2019-06-18T14:01:16,LD-EML_F2_Format2,LD-EML,350,,5000.0,工程,,エピNo.,2019-06-18T14:01:16
,,2019-06-18T18:37:32,LD-EML_F2_Format2,LD-EML,350,,5000.0,工程,,エピNo.,2019-06-18T18:37:32
,,2019-06-18T22:43:17,LD-EML_F2_Format2,LD-EML,350,,5000.0,工程,,エピNo.,2019-06-18T22:43:17
,,2019-06-19T03:34:44,LD-EML_F2_Format2,LD-EML,350,,5000.0,工程,,エピNo.,2019-06-19T03:34:44
,,2019-06-18T14:01:16,LD-EML_F2_Format2,LD-EML,350,,5000.0,工程,,エピNo.,2019-06-18T14:01:16
,,2019-04-05T17:15:21,LD-EML_F2_Format2,LD-EML,350,,5000.0,工程,,エピNo.,2019-04-05T17:15:21
,,2019-04-06T02:17:58,LD-EML_F2_Format2,LD-EML,350,,5000.0,工程,,エピNo.,2019-04-06T02:17:58
,,2019-04-06T07:52:43,LD-EML_F2_Format2,LD-EML,350,,5000.0,工程,,エピNo.,2019-04-06T07:52:43
,,2019-04-06T11:04:28,LD-EML_F2_Format2,LD-EML,350,,5000.0,工程,,エピNo.,2019-04-06T11:04:28
,,2019-04-06T15:23:12,LD-EML_F2_Format2,LD-EML,350,,5000.0,工程,,エピNo.,2019-04-06T15:23:12
,,2019-04-06T19:24:23,LD-EML_F2_Format2,LD-EML,350,,5000.0,工程,,エピNo.,2019-04-06T19:24:23
,,2019-04-07T00:04:44,LD-EML_F2_Format2,LD-EML,350,,5000.0,工程,,エピNo.,2019-04-07T00:04:44
,,2019-04-07T04:16:44,LD-EML_F2_Format2,LD-EML,350,,5000.0,工程,,エピNo.,2019-04-07T04:16:44
,,2019-04-07T13:16:52,LD-EML_F2_Format2,LD-EML,350,,5000.0,工程,,エピNo.,2019-04-07T13:16:52
,,2019-04-07T17:17:34,LD-EML_F2_Format2,LD-EML,350,,5000.0,工程,,エピNo.,2019-04-07T17:17:34
,,2019-04-07T22:37:15,LD-EML_F2_Format2,LD-EML,350,,5000.0,工程,,エピNo.,2019-04-07T22:37:15
,,2019-04-08T02:58:03,LD-EML_F2_Format2,LD-EML,350,,5000.0,工程,,エピNo.,2019-04-08T02:58:03
,,2019-04-08T07:24:58,LD-EML_F2_Format2,LD-EML,350,,5000.0,工程,,エピNo.,2019-04-08T07:24:58
,,2019-04-08T13:19:40,LD-EML_F2_Format2,LD-EML,350,,5000.0,工程,,エピNo.,2019-04-08T13:19:40
,,2019-04-07T22:37:15,LD-EML_F2_Format2,LD-EML,350,,5000.0,工程,,エピNo.,2019-04-07T22:37:15
,,2019-04-07T22:37:15,LD-EML_F2_Format2,LD-EML,350,,5000.0,工程,,エピNo.,2019-04-07T22:37:15
,,2019-06-29T10:41:59,LD-EML_F2_Format2,LD-EML,350,,5000.0,工程,,エピNo.,2019-06-29T10:41:59
,,2016-10-20T03:28:08,LD-EML_F2_Format2,LD-EML,350,,5000.0,工程,,エピNo.,2016-10-20T03:28:08
,,2016-10-20T12:00:03,LD-EML_F2_Format2,LD-EML,350,,5000.0,工程,,エピNo.,2016-10-20T12:00:03
,,2016-10-20T15:57:48,LD-EML_F2_Format2,LD-EML,350,,5000.0,工程,,エピNo.,2016-10-20T15:57:48
,,2016-10-27T04:45:32,LD-EML_F2_Format2,LD-EML,350,,5000.0,工程,,エピNo.,2016-10-27T04:45:32
