startdate,operator,scriber,cleaving,Lot,Needle_maker,Needle_No,scribe_length,scribe_force,unseparate,peeling
2025-02-25 20:10:00,JC2020061,8,12,24L8DHA02Aa01,Asahi,528.0,149.1,12.0,0.0,0.0
2025-02-25 20:29:08,JC2020061,4,7,24L4DE922Bf00,Asahi,529.0,151.8,12.2,0.0,0.0
2025-02-25 23:16:22,JC2019007,6,9,24KED1AK7Af00,Asahi,531.0,152.4,12.2,0.0,0.0
2025-02-26 00:21:06,JC2019007,2,4,24G8SL130Cg00,Asahi,532.0,161.0,7.5,0.0,0.0
2025-02-26 01:01:26,JC2019007,5,8,24L8DHA0BAb01,Asahi,530.0,155.1,12.2,0.0,0.0
2025-02-26 01:09:13,JC2019007,8,12,24L8DHA0BCd01,Asahi,528.0,152.8,12.2,0.0,0.0
2025-02-26 01:13:16,JC2019007,3,6,24L8DHA0BAb01,Asahi,526.0,154.7,12.3,0.0,1.0
2025-02-26 02:02:33,JC2024041,3,6,24L8DHA0BCd01,Asahi,526.0,154.7,12.3,0.0,1.0
2025-02-26 08:19:58,JC2024041,7,11,24L7DF940Be01,Asahi,527.0,154.5,12.0,0.0,0.0
2025-02-26 14:20:14,JC2016103,3,6,244DE923Cd01,Asahi,533.0,157.5,12.2,0.0,0.0
2025-02-26 16:38:30,JC2016103,9,4,24L1D1AL1Ah00,Asahi,507.0,149.2,12.0,0.0,0.0
2025-02-26 21:31:26,JC2017031,8,12,24L4DE926Ae01,Asahi,528.0,158.4,12.0,0.0,0.0
2025-02-26 22:23:29,JC2017031,4,7,24L4DE925Ad01,Ogura,,150.8,12.1,0.0,0.0
2025-02-27 02:53:46,JC2024086,6,9,24L4DE925Dd01,Asahi,531.0,150.5,12.2,0.0,0.0
2025-02-27 02:57:49,JC2024086,7,11,24L4DE925Dg01,Asahi,527.0,155.1,12.3,0.0,0.0
2025-02-27 03:06:34,PF2025009,3,6,24L7DF949Bd01,Asahi,533.0,151.1,12.1,0.0,0.0
2025-02-27 07:08:35,JC2024116,5,8,24LADE929Cd01,Asahi,530.0,153.9,12.3,0.0,0.0
2025-02-27 08:25:13,JC2024116,5,8,24L7DF953Aa00,Asahi,530.0,151.1,12.3,0.0,1.0
2025-02-27 08:27:24,JC2024116,6,9,24LADE929Dc01,Asahi,531.0,149.8,12.0,0.0,0.0
2025-02-27 22:24:44,JC2024116,4,7,24L1D1AL4Dg00,Ogura,,152.7,12.1,0.0,0.0
2025-02-28 00:03:39,JC2024116,3,6,24L1D1AL5Bd01,Asahi,533.0,149.1,12.3,0.0,0.0
2025-02-28 01:08:51,JC2024116,7,11,24L1D1AL5De00,Asahi,534.0,155.7,12.3,0.0,0.0
2025-02-28 02:35:01,JC2024116,5,8,24L1D1AL2Cd01,Asahi,530.0,155.7,12.1,0.0,0.0
2025-02-28 03:20:51,JC2024116,8,12,24L7DF955Ab01,Asahi,528.0,156.4,12.1,0.0,0.0
2025-02-28 05:20:43,JC2024116,6,9,24L7DF950Ab01,Asahi,531.0,151.5,12.1,0.0,0.0
2025-02-28 09:04:22,Cleaving No.11,2024116,6,24L1D1AL3Dd01,Asahi,531.0,155.7,12.0,0.9,0.0
