Date,time,operator,scriber,cleaving,Lot,Needle_maker,Needle_No,scribe_length,scribe_force,unseparate,peeling
2025/02/25,20:10:00,JC2020061,Scriber No.8,Cleaving No.12,24L8DHA02Aa01,Asahi,528,149.1,12,0,0
2025/02/25,20:29:08,JC2020061,Scriber No.4,Cleaving No.7,24L4DE922Bf00,Asahi,529,151.8,12.2,0,0
2025/02/25,23:16:22,JC2019007,Scriber No.6,Cleaving No.9,24KED1AK7Af00,Asahi,531,152.4,12.2,0,0
2025/02/26,0:21:06,JC2019007,Scriber No.2,Cleaving No.4,24G8SL130Cg00,Asahi,532,161,7.5,0,0
2025/02/26,1:01:26,JC2019007,Scriber No.5,Cleaving No.8,24L8DHA0BAb01,Asahi,530,155.1,12.2,0,0
2025/02/26,1:09:13,JC2019007,Scriber No.8,Cleaving No.12,24L8DHA0BCd01,Asahi,528,152.8,12.2,0,0
2025/02/26,1:13:16,JC2019007,Scriber No.3,Cleaving No.6,24L8DHA0BAb01,Asahi,526,154.7,12.3,0,1
2025/02/26,2:02:33,JC2024041,Scriber No.3,Cleaving No.6,24L8DHA0BCd01,Asahi,526,154.7,12.3,0,1
2025/02/26,8:19:58,JC2024041,Scriber No.7,Cleaving No.11,24L7DF940Be01,Asahi,527,154.5,12,0,0
2025/02/26,14:20:14,JC2016103,Scriber No.3,Cleaving No.6,244DE923Cd01,Asahi,533,157.5,12.2,0,0
2025/02/26,16:38:30,JC2016103,Scriber No.9,Cleaving No.4,24L1D1AL1Ah00,Asahi,507,149.2,12,0,0
2025/02/26,21:31:26,JC2017031,Scriber No.8,Cleaving No.12,24L4DE926Ae01,Asahi,528,158.4,12,0,0
2025/02/26,22:23:29,JC2017031,Scriber No.4,Cleaving No.7,24L4DE925Ad01,Ogura,,150.8,12.1,0,0
2025/02/27,2:53:46,JC2024086,Scriber No.6,Cleaving No.9,24L4DE925Dd01,Asahi,531,150.5,12.2,0,0
2025/02/27,2:57:49,JC2024086,Scriber No.7,Cleaving No.11,24L4DE925Dg01,Asahi,527,155.1,12.3,0,0
2025/02/27,3:06:34,PF2025009,Scriber No.3,Cleaving No.6,24L7DF949Bd01,Asahi,533,151.1,12.1,0,0
2025/02/27,7:08:35,JC2024116,Scriber No.5,Cleaving No.8,24LADE929Cd01,Asahi,530,153.9,12.3,0,0
2025/02/27,8:25:13,JC2024116,Scriber No.5,Cleaving No.8,24L7DF953Aa00,Asahi,530,151.1,12.3,0,1
2025/02/27,8:27:24,JC2024116,Scriber No.6,Cleaving No.9,24LADE929Dc01,Asahi,531,149.8,12,0,0
