2025-12-30 09:25:10,845 | INFO | E1_Qrun | ==== Start E1_Qrun uploader ====
2025-12-30 09:25:10,845 | INFO | E1_Qrun | INI: C:\Users\hsi67063\Documents\Kaizen-TDS\054_E1_Qrun\E1_Qrun.INI
2025-12-30 09:25:11,440 | INFO | E1_Qrun | CSV output: \\li.lumentuminc.net\data\SAG\TDS\Data\SAG_FE\054_E1_Qrun\E1_Qrun_2025_12_30T09.25.11_884de431.csv
2025-12-30 09:25:11,460 | INFO | E1_Qrun | Dedup enabled: ..\DataFile\054_E1_Qrun\dedup_registry.sqlite
2025-12-30 09:25:53,261 | INFO | E1_Qrun | Discovered 255 candidate files.
2025-12-30 09:25:53,652 | INFO | E1_Qrun | Skip (dedup): N1250922_N1004先行結果.xlsm
2025-12-30 09:25:53,988 | INFO | E1_Qrun | Skip (dedup): N1250923_N1001先行結果.xlsm
2025-12-30 09:25:54,316 | INFO | E1_Qrun | Skip (dedup): N1250927_N1002先行結果.xlsm
2025-12-30 09:25:54,647 | INFO | E1_Qrun | Skip (dedup): N1250927_N1003先行結果.xlsm
2025-12-30 09:25:54,972 | INFO | E1_Qrun | Skip (dedup): N1251120_N1007先行結果.xlsm
2025-12-30 09:25:55,301 | INFO | E1_Qrun | Skip (dedup): N1251120_N1009先行結果.xlsm
2025-12-30 09:25:55,654 | INFO | E1_Qrun | Skip (dedup): N1251122_N1005先行結果.xlsx
2025-12-30 09:25:55,977 | INFO | E1_Qrun | Skip (dedup): N1251122_N1006先行結果.xlsx
2025-12-30 09:25:56,303 | INFO | E1_Qrun | Skip (dedup): N1251122_N1008先行結果.xlsx
2025-12-30 09:25:56,642 | INFO | E1_Qrun | Skip (dedup): N1251122_N1010先行結果.xlsx
2025-12-30 09:25:56,970 | INFO | E1_Qrun | Skip (dedup): N1251123_N1005先行結果.xlsx
2025-12-30 09:25:57,289 | INFO | E1_Qrun | Skip (dedup): N1251124_N1011先行結果.xlsx
2025-12-30 09:25:57,617 | INFO | E1_Qrun | Skip (dedup): N1251124_N1012先行結果.xlsx
2025-12-30 09:25:57,946 | INFO | E1_Qrun | Skip (dedup): N1251124_N1013先行結果.xlsx
2025-12-30 09:25:58,268 | INFO | E1_Qrun | Skip (dedup): N1251125_N1014先行結果.xlsx
2025-12-30 09:25:58,597 | INFO | E1_Qrun | Skip (dedup): N1251126_N1015先行結果.xlsx
2025-12-30 09:25:58,922 | INFO | E1_Qrun | Skip (dedup): N1251126_N1016先行結果.xlsx
2025-12-30 09:25:59,245 | INFO | E1_Qrun | Skip (dedup): N1251126_N1017先行結果.xlsx
2025-12-30 09:25:59,581 | INFO | E1_Qrun | Skip (dedup): N1251126_N1021先行結果.xlsx
2025-12-30 09:25:59,899 | INFO | E1_Qrun | Skip (dedup): N1251126_N1022先行結果.xlsx
2025-12-30 09:26:00,224 | INFO | E1_Qrun | Skip (dedup): N1251127_N1018先行結果.xlsx
2025-12-30 09:26:00,554 | INFO | E1_Qrun | Skip (dedup): N1251127_N1019先行結果.xlsx
2025-12-30 09:26:00,881 | INFO | E1_Qrun | Skip (dedup): N1251127_N1023先行結果.xlsx
2025-12-30 09:26:01,212 | INFO | E1_Qrun | Skip (dedup): N1251127_N1024先行結果.xlsx
2025-12-30 09:26:01,565 | INFO | E1_Qrun | Skip (dedup): N1251128_N1020先行結果.xlsx
2025-12-30 09:26:01,900 | INFO | E1_Qrun | Skip (dedup): N2251204_N2006先行結果.xlsx
2025-12-30 09:26:02,227 | INFO | E1_Qrun | Skip (dedup): N2251204_N2007先行結果.xlsx
2025-12-30 09:26:02,572 | INFO | E1_Qrun | Skip (dedup): N2251205_N2001先行結果.xlsx
2025-12-30 09:26:03,172 | INFO | E1_Qrun | Skip (dedup): N2251205_N2004先行結果.xlsx
2025-12-30 09:26:03,510 | INFO | E1_Qrun | Skip (dedup): N2251206_N2002先行結果.xlsx
